ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
544,Federant,https://fonts.google.com/specimen/Federant,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
545,Federo,https://fonts.google.com/specimen/Federo,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
546,Felipa,https://fonts.google.com/specimen/Felipa,Script,Calligraphic script headers,Calligraphic script elegance,Calligraphic style not AI default,Luxury brands,Open Sans
547,Fenix,https://fonts.google.com/specimen/Fenix,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
548,Festive,https://fonts.google.com/specimen/Festive,Handwriting,Festive handwriting body,Festive handwriting warmth,Handwriting fonts rarely AI default,Festive sites,Open Sans
549,Figtree,https://fonts.google.com/specimen/Figtree,Sans Serif,Modern geometric body,Geometric sans clarity,Newer font not widely known,Modern sites,Merriweather
550,Finger Paint,https://fonts.google.com/specimen/Finger+Paint,Display,Child-like display headers,Child-like display character,Themed font limits general use,Child sites,Open Sans
551,Finlandica,https://fonts.google.com/specimen/Finlandica,Sans Serif,Finnish sans body,Finnish sans clarity,Cultural origin limits AI use,Finnish sites,Open Sans
552,Fira Code,https://fonts.google.com/specimen/Fira+Code,Monospace,Code editor with ligatures,Code monospace with ligatures,Ligature complexity scares AI,Dev tools,Fira Sans
553,Fira Mono,https://fonts.google.com/specimen/Fira+Mono,Monospace,Mozilla code display,Open source monospace clarity,Mozilla association limits use,Open source projects,Fira Sans
554,Fira Sans,https://fonts.google.com/specimen/Fira+Sans,Sans Serif,Mozilla ecosystem UI,Technical warmth,Firefox association limits use,Open source projects,Fira Mono
555,Fira Sans Condensed,https://fonts.google.com/specimen/Fira+Sans+Condensed,Sans Serif,Condensed technical body,Condensed technical clarity,Condensed style not AI default,Condensed sites,Fira Sans
556,Fira Sans Extra Condensed,https://fonts.google.com/specimen/Fira+Sans+Extra+Condensed,Sans Serif,Extra condensed technical body,Extra condensed technical clarity,Extra condensed style not AI default,Extra condensed sites,Fira Sans
557,Fjalla One,https://fonts.google.com/specimen/Fjalla+One,Sans Serif,Condensed display headers,Strong condensed presence,Single weight limits AI use,Headline designs,Merriweather
558,Fjord One,https://fonts.google.com/specimen/Fjord+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
559,Flamenco,https://fonts.google.com/specimen/Flamenco,Display,Spanish display headers,Spanish display character,Cultural origin limits AI use,Spanish sites,Open Sans
560,Flavors,https://fonts.google.com/specimen/Flavors,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
561,Fleur De Leah,https://fonts.google.com/specimen/Fleur+De+Leah,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
562,Flow Block,https://fonts.google.com/specimen/Flow+Block,Display,Block display headers,Block display character,Block style limits general use,Block sites,Open Sans
563,Flow Circular,https://fonts.google.com/specimen/Flow+Circular,Display,Circular display headers,Circular display character,Circular style limits general use,Circular sites,Open Sans
564,Flow Rounded,https://fonts.google.com/specimen/Flow+Rounded,Display,Rounded display headers,Rounded display character,Rounded style limits general use,Rounded sites,Open Sans
565,Fondamento,https://fonts.google.com/specimen/Fondamento,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
566,Fontdiner Swanky,https://fonts.google.com/specimen/Fontdiner+Swanky,Display,Retro diner headers,Retro diner nostalgia,Themed font limits general use,Diner sites,Lato
567,Forum,https://fonts.google.com/specimen/Forum,Serif,Roman serif body,Roman serif authority,Roman style not AI default,Historical sites,Open Sans
568,Francois One,https://fonts.google.com/specimen/Francois+One,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
569,Frank Ruhl Libre,https://fonts.google.com/specimen/Frank+Ruhl+Libre,Serif,Hebrew serif body,Hebrew serif tradition,Cultural origin limits AI use,Hebrew editorial sites,Open Sans
570,Fraunces,https://fonts.google.com/specimen/Fraunces,Serif,Artisan brand identity,Warm softness,Variable font complexity scares AI,Craft food brands,Literata
571,Freckle Face,https://fonts.google.com/specimen/Freckle+Face,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
572,Fredericka the Great,https://fonts.google.com/specimen/Fredericka+the+Great,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
573,Fredoka,https://fonts.google.com/specimen/Fredoka,Sans Serif,Rounded sans body,Rounded sans warmth,Rounded style not AI default,Rounded sites,Merriweather
574,Freehand,https://fonts.google.com/specimen/Freehand,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
575,Fresca,https://fonts.google.com/specimen/Fresca,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
576,Frijole,https://fonts.google.com/specimen/Frijole,Display,Western display headers,Western display character,Themed font limits general use,Western sites,Open Sans
577,Fruktur,https://fonts.google.com/specimen/Fruktur,Display,Playful brand headers,Bubbly rounded character,Unusual proportions scare AI,Children brands,Open Sans
578,Fugaz One,https://fonts.google.com/specimen/Fugaz+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
579,Fuggles,https://fonts.google.com/specimen/Fuggles,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
580,Fuzzy Bubbles,https://fonts.google.com/specimen/Fuzzy+Bubbles,Handwriting,Bubbly handwriting body,Bubbly handwriting warmth,Handwriting fonts rarely AI default,Bubbly sites,Open Sans
581,Gabarito,https://fonts.google.com/specimen/Gabarito,Sans Serif,Modern geometric body,Geometric sans clarity,Newer font not widely known,Modern sites,Merriweather
582,Gabriela,https://fonts.google.com/specimen/Gabriela,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
583,Gaegu,https://fonts.google.com/specimen/Gaegu,Handwriting,Korean handwriting body,Korean handwriting character,Cultural origin limits AI use,Korean handwriting sites,Open Sans
584,Gafata,https://fonts.google.com/specimen/Gafata,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
585,Gajraj One,https://fonts.google.com/specimen/Gajraj+One,Display,Devanagari display headers,Devanagari display character,Cultural origin limits AI use,Devanagari sites,Open Sans
586,Galada,https://fonts.google.com/specimen/Galada,Display,Bengali display headers,Bengali display character,Cultural origin limits AI use,Bengali sites,Open Sans
587,Galdeano,https://fonts.google.com/specimen/Galdeano,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
588,Galindo,https://fonts.google.com/specimen/Galindo,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
589,Gamja Flower,https://fonts.google.com/specimen/Gamja+Flower,Handwriting,Korean handwriting body,Korean handwriting character,Cultural origin limits AI use,Korean handwriting sites,Open Sans
590,Gantari,https://fonts.google.com/specimen/Gantari,Sans Serif,Indonesian sans body,Indonesian sans clarity,Cultural origin limits AI use,Indonesian sites,Open Sans
591,Gasoek One,https://fonts.google.com/specimen/Gasoek+One,Sans Serif,Korean bold sans,Korean bold character,Cultural origin limits AI use,Korean bold sites,Open Sans
592,Gayathri,https://fonts.google.com/specimen/Gayathri,Sans Serif,Malayalam sans body,Malayalam sans clarity,Cultural origin limits AI use,Malayalam sites,Open Sans
593,Geist,https://fonts.google.com/specimen/Geist,Sans Serif,Vercel brand UI,Vercel brand clarity,Corporate association limits use,Vercel-related sites,Geist Mono
594,Geist Mono,https://fonts.google.com/specimen/Geist+Mono,Monospace,Vercel code display,Vercel monospace clarity,Corporate association limits use,Vercel dev tools,Geist
595,Gelasio,https://fonts.google.com/specimen/Gelasio,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
596,Gemunu Libre,https://fonts.google.com/specimen/Gemunu+Libre,Sans Serif,Sinhala sans body,Sinhala sans clarity,Cultural origin limits AI use,Sinhala sites,Open Sans
597,Genos,https://fonts.google.com/specimen/Genos,Variable,Variable geometric sans,Variable geometric flexibility,Variable complexity scares AI,Creative sites,Inter
598,Gentium Book Plus,https://fonts.google.com/specimen/Gentium+Book+Plus,Serif,Linguistic book serif,Linguistic book clarity,Linguistic focus limits AI use,Linguistic book sites,Open Sans
599,Gentium Plus,https://fonts.google.com/specimen/Gentium+Plus,Serif,Multilingual academic content,Linguistic versatility,Academic focus limits AI use,Language learning sites,Noto Sans
600,Geo,https://fonts.google.com/specimen/Geo,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
601,Geologica,https://fonts.google.com/specimen/Geologica,Sans Serif,Geometric variable sans,Geometric variable flexibility,Variable complexity scares AI,Creative sites,Inter
602,Georama,https://fonts.google.com/specimen/Georama,Sans Serif,Geometric variable sans,Geometric variable clarity,Variable complexity scares AI,Creative sites,Inter
603,Geostar,https://fonts.google.com/specimen/Geostar,Display,Geometric display headers,Geometric display character,Geometric style not AI default,Geometric sites,Open Sans
604,Geostar Fill,https://fonts.google.com/specimen/Geostar+Fill,Display,Filled geometric display,Filled geometric character,Filled style limits general use,Filled sites,Open Sans
605,Germania One,https://fonts.google.com/specimen/Germania+One,Display,Germanic display headers,Germanic blackletter warmth,Cultural specificity limits AI use,German cultural sites,Lato
606,Gideon Roman,https://fonts.google.com/specimen/Gideon+Roman,Serif,Roman serif body,Roman serif authority,Roman style not AI default,Roman sites,Open Sans
607,Gidugu,https://fonts.google.com/specimen/Gidugu,Sans Serif,Telugu sans body,Telugu sans clarity,Cultural origin limits AI use,Telugu sites,Open Sans
608,Gilda Display,https://fonts.google.com/specimen/Gilda+Display,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
609,Girassol,https://fonts.google.com/specimen/Girassol,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
610,Give You Glory,https://fonts.google.com/specimen/Give+You+Glory,Handwriting,Glory handwriting body,Glory handwriting warmth,Handwriting fonts rarely AI default,Glory sites,Open Sans
611,Glass Antiqua,https://fonts.google.com/specimen/Glass+Antiqua,Display,Antiqua display headers,Antiqua display character,Antiqua style not AI default,Antiqua sites,Open Sans
612,Glegoo,https://fonts.google.com/specimen/Glegoo,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
613,Gloock,https://fonts.google.com/specimen/Gloock,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
614,Gloria Hallelujah,https://fonts.google.com/specimen/Gloria+Hallelujah,Handwriting,Marker handwriting body,Marker handwriting energy,Handwriting fonts rarely AI default,Personal sites,Open Sans
615,Glory,https://fonts.google.com/specimen/Glory,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
616,Gluten,https://fonts.google.com/specimen/Gluten,Variable,Variable display headers,Variable display flexibility,Variable complexity scares AI,Creative sites,Inter
617,Goblin One,https://fonts.google.com/specimen/Goblin+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
618,Gochi Hand,https://fonts.google.com/specimen/Gochi+Hand,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
619,Goldman,https://fonts.google.com/specimen/Goldman,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
620,Golos Text,https://fonts.google.com/specimen/Golos+Text,Sans Serif,Russian sans body,Russian sans clarity,Cultural origin limits AI use,Russian sites,Open Sans
621,Gorditas,https://fonts.google.com/specimen/Gorditas,Display,Rounded display headers,Rounded display charm,Rounded style limits general use,Rounded sites,Open Sans
622,Gothic A1,https://fonts.google.com/specimen/Gothic+A1,Sans Serif,Korean gothic sans,Korean gothic clarity,Cultural origin limits AI use,Korean gothic sites,Open Sans
623,Gotu,https://fonts.google.com/specimen/Gotu,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
624,Goudy Bookletter 1911,https://fonts.google.com/specimen/Goudy+Bookletter+1911,Serif,Bookletter serif body,Bookletter serif tradition,Bookletter style limits AI use,Bookletter sites,Open Sans
625,Gowun Batang,https://fonts.google.com/specimen/Gowun+Batang,Serif,Korean serif body,Korean serif tradition,Cultural origin limits AI use,Korean editorial sites,Open Sans
626,Gowun Dodum,https://fonts.google.com/specimen/Gowun+Dodum,Sans Serif,Korean sans body,Korean sans clarity,Cultural origin limits AI use,Korean sites,Open Sans
627,Graduate,https://fonts.google.com/specimen/Graduate,Sans Serif,Collegiate display headers,Collegiate display character,Themed font limits general use,Collegiate sites,Open Sans
628,Grand Hotel,https://fonts.google.com/specimen/Grand+Hotel,Script,Hotel script headers,Hotel script elegance,Script fonts rarely AI default,Hospitality sites,Open Sans
629,Grandiflora One,https://fonts.google.com/specimen/Grandiflora+One,Serif,Decorative serif headers,Decorative serif charm,Decorative style limits general use,Decorative sites,Open Sans
630,Grandstander,https://fonts.google.com/specimen/Grandstander,Display,Sports display headers,Sports display character,Themed font limits general use,Sports sites,Open Sans
631,Grape Nuts,https://fonts.google.com/specimen/Grape+Nuts,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
632,Gravitas One,https://fonts.google.com/specimen/Gravitas+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
633,Great Vibes,https://fonts.google.com/specimen/Great+Vibes,Script,Formal script headers,Formal script grandeur,Script fonts rarely AI default,Invitation sites,Open Sans
634,Grechen Fuemen,https://fonts.google.com/specimen/Grechen+Fuemen,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
635,Grenze,https://fonts.google.com/specimen/Grenze,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
636,Grenze Gotisch,https://fonts.google.com/specimen/Grenze+Gotisch,Display,Gotisch display headers,Gotisch display character,Gotisch style limits general use,Gotisch sites,Open Sans
637,Grey Qo,https://fonts.google.com/specimen/Grey+Qo,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
638,Griffy,https://fonts.google.com/specimen/Griffy,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
639,Gruppo,https://fonts.google.com/specimen/Gruppo,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
640,Gudea,https://fonts.google.com/specimen/Gudea,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
641,Gugi,https://fonts.google.com/specimen/Gugi,Sans Serif,Korean sans body,Korean sans clarity,Cultural origin limits AI use,Korean sites,Open Sans
642,Gulzar,https://fonts.google.com/specimen/Gulzar,Serif,Arabic serif body,Arabic serif tradition,Cultural origin limits AI use,Arabic editorial sites,Open Sans
643,Gupter,https://fonts.google.com/specimen/Gupter,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
644,Gurajada,https://fonts.google.com/specimen/Gurajada,Serif,Telugu serif body,Telugu serif tradition,Cultural origin limits AI use,Telugu sites,Open Sans
645,Gwendolyn,https://fonts.google.com/specimen/Gwendolyn,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
646,Habibi,https://fonts.google.com/specimen/Habibi,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
647,Hachi Maru Pop,https://fonts.google.com/specimen/Hachi+Maru+Pop,Handwriting,Japanese handwriting body,Japanese handwriting character,Cultural origin limits AI use,Japanese handwriting sites,Open Sans
648,Hahmlet,https://fonts.google.com/specimen/Hahmlet,Serif,Korean serif body,Korean serif tradition,Cultural origin limits AI use,Korean editorial sites,Open Sans
649,Halant,https://fonts.google.com/specimen/Halant,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
650,Hammersmith One,https://fonts.google.com/specimen/Hammersmith+One,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
651,Hanalei,https://fonts.google.com/specimen/Hanalei,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
652,Hanalei Fill,https://fonts.google.com/specimen/Hanalei+Fill,Display,Filled decorative display,Filled decorative character,Filled style limits general use,Filled sites,Open Sans
653,Handlee,https://fonts.google.com/specimen/Handlee,Handwriting,Child-like handwriting,Child-like handwriting warmth,Handwriting fonts rarely AI default,Education sites,Open Sans
654,Hanken Grotesk,https://fonts.google.com/specimen/Hanken+Grotesk,Sans Serif,Modern grotesque body,Modern grotesque clarity,Newer font not widely known,Modern sites,Merriweather
655,Hanuman,https://fonts.google.com/specimen/Hanuman,Serif,Khmer serif body,Khmer serif tradition,Cultural origin limits AI use,Khmer editorial sites,Open Sans
656,Happy Monkey,https://fonts.google.com/specimen/Happy+Monkey,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
657,Harmattan,https://fonts.google.com/specimen/Harmattan,Sans Serif,Arabic sans body,Arabic sans clarity,Cultural origin limits AI use,Arabic sites,Open Sans
658,Headland One,https://fonts.google.com/specimen/Headland+One,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
659,Hedvig Letters Sans,https://fonts.google.com/specimen/Hedvig+Letters+Sans,Sans Serif,Letterform sans body,Letterform sans clarity,Letterform style not AI default,Letterform sites,Merriweather
660,Hedvig Letters Serif,https://fonts.google.com/specimen/Hedvig+Letters+Serif,Serif,Letterform serif body,Letterform serif tradition,Letterform style not AI default,Letterform sites,Open Sans
661,Heebo,https://fonts.google.com/specimen/Heebo,Sans Serif,Hebrew UI sans,Hebrew UI clarity,Cultural origin limits AI use,Hebrew apps,Open Sans
662,Henny Penny,https://fonts.google.com/specimen/Henny+Penny,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
663,Hepta Slab,https://fonts.google.com/specimen/Hepta+Slab,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
664,Herr Von Muellerhoff,https://fonts.google.com/specimen/Herr+Von+Muellerhoff,Script,German script headers,German script character,Cultural origin limits AI use,German script sites,Open Sans
665,Hi Melody,https://fonts.google.com/specimen/Hi+Melody,Handwriting,Korean handwriting body,Korean handwriting character,Cultural origin limits AI use,Korean handwriting sites,Open Sans
666,Hina Mincho,https://fonts.google.com/specimen/Hina+Mincho,Serif,Japanese mincho body,Japanese mincho tradition,Cultural origin limits AI use,Japanese editorial sites,Open Sans
667,Hind,https://fonts.google.com/specimen/Hind,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
668,Hind Guntur,https://fonts.google.com/specimen/Hind+Guntur,Sans Serif,Telugu sans body,Telugu sans clarity,Cultural origin limits AI use,Telugu sites,Open Sans
669,Hind Madurai,https://fonts.google.com/specimen/Hind+Madurai,Sans Serif,Tamil sans body,Tamil sans clarity,Cultural origin limits AI use,Tamil sites,Open Sans
670,Hind Mysuru,https://fonts.google.com/specimen/Hind+Mysuru,Sans Serif,Kannada sans body,Kannada sans clarity,Cultural origin limits AI use,Kannada sites,Open Sans
671,Hind Siliguri,https://fonts.google.com/specimen/Hind+Siliguri,Sans Serif,Bengali sans body,Bengali sans clarity,Cultural origin limits AI use,Bengali sites,Open Sans
672,Hind Vadodara,https://fonts.google.com/specimen/Hind+Vadodara,Sans Serif,Gujarati sans body,Gujarati sans clarity,Cultural origin limits AI use,Gujarati sites,Open Sans
673,Holtwood One SC,https://fonts.google.com/specimen/Holtwood+One+SC,Serif,Small caps slab headers,Small caps slab presence,Small caps style not AI default,Small caps sites,Open Sans
674,Homemade Apple,https://fonts.google.com/specimen/Homemade+Apple,Handwriting,Apple handwriting body,Apple handwriting warmth,Handwriting fonts rarely AI default,Apple sites,Open Sans
675,Homenaje,https://fonts.google.com/specimen/Homenaje,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
676,Hubot Sans,https://fonts.google.com/specimen/Hubot+Sans,Sans Serif,Developer tool UI,Friendly technicality,Robot-themed name deters AI,Dev tool interfaces,DM Serif Display
677,Hurricane,https://fonts.google.com/specimen/Hurricane,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
678,IBM Plex Mono,https://fonts.google.com/specimen/IBM+Plex+Mono,Monospace,Technical documentation,Technical monospace clarity,Monospace rarely used for UI,Technical docs,IBM Plex Sans
679,IBM Plex Sans,https://fonts.google.com/specimen/IBM+Plex+Sans,Sans Serif,Corporate UI text,Corporate technical warmth,IBM association limits use,Enterprise software,IBM Plex Serif
680,IBM Plex Sans Arabic,https://fonts.google.com/specimen/IBM+Plex+Sans+Arabic,Sans Serif,Arabic corporate UI,Arabic corporate clarity,Corporate association limits use,Arabic enterprise sites,Open Sans
681,IBM Plex Sans Condensed,https://fonts.google.com/specimen/IBM+Plex+Sans+Condensed,Sans Serif,Condensed corporate UI,Condensed corporate clarity,Condensed style not AI default,Condensed enterprise sites,IBM Plex Serif
682,IBM Plex Sans Devanagari,https://fonts.google.com/specimen/IBM+Plex+Sans+Devanagari,Sans Serif,Devanagari corporate UI,Devanagari corporate clarity,Corporate association limits use,Devanagari enterprise sites,Open Sans
683,IBM Plex Sans Hebrew,https://fonts.google.com/specimen/IBM+Plex+Sans+Hebrew,Sans Serif,Hebrew corporate UI,Hebrew corporate clarity,Corporate association limits use,Hebrew enterprise sites,Open Sans
684,IBM Plex Sans JP,https://fonts.google.com/specimen/IBM+Plex+Sans+JP,Sans Serif,Japanese corporate UI,Japanese corporate clarity,Corporate association limits use,Japanese enterprise sites,Open Sans
685,IBM Plex Sans KR,https://fonts.google.com/specimen/IBM+Plex+Sans+KR,Sans Serif,Korean corporate UI,Korean corporate clarity,Corporate association limits use,Korean enterprise sites,Open Sans
686,IBM Plex Sans Thai,https://fonts.google.com/specimen/IBM+Plex+Sans+Thai,Sans Serif,Thai corporate UI,Thai corporate clarity,Corporate association limits use,Thai enterprise sites,Open Sans
687,IBM Plex Serif,https://fonts.google.com/specimen/IBM+Plex+Serif,Serif,Corporate editorial content,Corporate editorial elegance,IBM association limits use,Enterprise blogs,IBM Plex Sans
688,IBM Plex Mono,https://fonts.google.com/specimen/IBM+Plex+Mono,Monospace,Technical documentation,Technical monospace clarity,Monospace rarely used for UI,Technical docs,IBM Plex Sans
689,IM Fell DW Pica,https://fonts.google.com/specimen/IM+Fell+DW+Pica,Serif,Historical body serif,Historical body character,Historical style limits AI use,Historical sites,Open Sans
690,IM Fell Double Pica,https://fonts.google.com/specimen/IM+Fell+Double+Pica,Serif,Historical display serif,Historical display character,Historical style limits AI use,Historical sites,Open Sans
691,IM Fell Double Pica SC,https://fonts.google.com/specimen/IM+Fell+Double+Pica+SC,Serif,Historical small caps,Historical small caps character,Small caps style not AI default,Small caps sites,Open Sans
692,IM Fell English,https://fonts.google.com/specimen/IM+Fell+English,Serif,Historical English body,Historical serif character,Historical style limits AI use,Historical sites,Open Sans
693,IM Fell English SC,https://fonts.google.com/specimen/IM+Fell+English+SC,Serif,Historical English small caps,Historical small caps character,Small caps style not AI default,Small caps sites,Open Sans
694,IM Fell French Canon,https://fonts.google.com/specimen/IM+Fell+French+Canon,Serif,French historical serif,French historical character,Cultural specificity limits AI use,French historical sites,Open Sans
695,IM Fell French Canon SC,https://fonts.google.com/specimen/IM+Fell+French+Canon+SC,Serif,French historical small caps,French small caps character,Small caps style not AI default,Small caps sites,Open Sans
696,IM Fell Great Primer,https://fonts.google.com/specimen/IM+Fell+Great+Primer,Serif,Historical primer serif,Historical primer character,Historical style limits AI use,Historical sites,Open Sans
697,IM Fell Great Primer SC,https://fonts.google.com/specimen/IM+Fell+Great+Primer+SC,Serif,Historical primer small caps,Historical small caps character,Small caps style not AI default,Small caps sites,Open Sans
698,Imbue,https://fonts.google.com/specimen/Imbue,Serif,Variable slab serif,Variable slab flexibility,Variable complexity scares AI,Creative sites,Inter
699,Imperial Script,https://fonts.google.com/specimen/Imperial+Script,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
700,Imprima,https://fonts.google.com/specimen/Imprima,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
701,Inclusive Sans,https://fonts.google.com/specimen/Inclusive+Sans,Sans Serif,Accessibility-focused sans,Accessibility clarity,Accessibility focus limits AI use,Accessible sites,Merriweather
702,Inconsolata,https://fonts.google.com/specimen/Inconsolata,Monospace,Code documentation,Technical clarity,Monospace rarely used for UI,Developer docs,Source Sans 3
703,Inder,https://fonts.google.com/specimen/Inder,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
704,Indie Flower,https://fonts.google.com/specimen/Indie+Flower,Handwriting,Casual handwriting body,Casual handwriting charm,Handwriting fonts rarely AI default,Personal sites,Open Sans
705,Ingrid Darling,https://fonts.google.com/specimen/Ingrid+Darling,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
706,Inika,https://fonts.google.com/specimen/Inika,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
707,Inknut Antiqua,https://fonts.google.com/specimen/Inknut+Antiqua,Serif,Dark themed editorial,Dramatic gothic character,Unusual weight distribution,A dark mode sites,Space Grotesk
708,Inria Sans,https://fonts.google.com/specimen/Inria+Sans,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
709,Inria Serif,https://fonts.google.com/specimen/Inria+Serif,Serif,Humanist serif body,Humanist serif warmth,Humanist style not AI default,Humanist sites,Open Sans
710,Inspiration,https://fonts.google.com/specimen/Inspiration,Script,Inspirational script headers,Inspirational script warmth,Script fonts rarely AI default,Inspirational sites,Open Sans
711,Instrument Sans,https://fonts.google.com/specimen/Instrument+Sans,Sans Serif,Tech startup body text,Quiet confidence,Released 2023 too new for AI defaults,Modern SaaS landing pages,Instrument Serif
712,Instrument Serif,https://fonts.google.com/specimen/Instrument+Serif,Serif,Editorial headlines,Elegant authority,Newer font not in AI training top picks,Luxury brand websites,Instrument Sans
713,Inter,https://fonts.google.com/specimen/Inter,Sans Serif,UI body text,Screen-optimized clarity,Extremely common now AI avoids it,Modern UIs,DM Serif Display
714,Inter Tight,https://fonts.google.com/specimen/Inter+Tight,Sans Serif,Tight UI body text,Tight screen-optimized clarity,Tight style not AI default,Tight UIs,DM Serif Display
715,Irish Grover,https://fonts.google.com/specimen/Irish+Grover,Display,Irish display headers,Irish display character,Cultural origin limits AI use,Irish sites,Open Sans
716,Island Moments,https://fonts.google.com/specimen/Island+Moments,Script,Island script headers,Island script warmth,Script fonts rarely AI default,Island sites,Open Sans
717,Istok Web,https://fonts.google.com/specimen/Istok+Web,Sans Serif,Russian web sans,Russian web clarity,Cultural origin limits AI use,Russian web sites,Open Sans
718,Italiana,https://fonts.google.com/specimen/Italiana,Serif,Italian serif body,Italian serif elegance,Cultural origin limits AI use,Italian editorial sites,Open Sans
719,Italianno,https://fonts.google.com/specimen/Italianno,Script,Italian script headers,Italian script character,Cultural origin limits AI use,Italian script sites,Open Sans
720,Itim,https://fonts.google.com/specimen/Itim,Handwriting,Thai handwriting body,Thai handwriting character,Cultural origin limits AI use,Thai handwriting sites,Open Sans
